Name,Comments,Sentiment,Assigned to,Likes,Number of replies,Time
Ephesians-2:8-9,"Why do Calvinist find it necessary to complain about everything?

Here's an idea Todd why don't you give us a list of shows that you watch that fit good doctrine? I bet there isn't even 1.

Followed by a list of proper Christian music. I'm not going to lift weights to hymns. Try squatting 400lbs with that playing.

People at my work aren't Christians maybe I should quit and John Macarthur could set up a place for us to live.

You live in a fallen world and I don't care who I listen to or watch their a sinner still out committing sins daily. When I listen to John Macarthur preach I am not under the impression that I am listening to a perfect man. He sins daily. I would bet the average Christian sins more than the good deads they do everyday.",Against,,"
    0
  ",,8 months ago
Michelle My Belle,Wasn't interested. But watched the first 2... not another one. I felt it was... borderline blasphemy. Whoa! I typed that before you said that. I don't think the ONLY words Jesus EVER spoke were ONLY what's in the Bible. But I don't think it was what is in this show.  And for that reason... I'm out!,For,,"
    0
  ",,8 months ago (edited)
MissKay,"You are flat out wrong to disuade people from watching the Chosen. There isn’t one single movie ever that has not taken some artistic license in elaborating on the gospels. They must to make a story. Is it blasphemous? Absolutely not. The healings and miracles and words are there from the Bible and many people who have a hard time reading the Bible need this story to bring them closer to his words and teachings. Who cares if the actors or producers are Mormón or Catholic, it’s the final production that resonantes with  many. You should be ashamed for leading people astray.",Against,,"
    0
  ",,7 months ago
C C,Funny how evangelicals talk about bad theology and heresy. I’m not Mormon and Jesus is a created being. He came into existence at his birth. Jesus is Gods begotten son. My wife and I have begotten two kids. They didn’t exist before either.,Against,,"
    0
  ",,8 months ago
homer3 ja,I watched 10 mins of it and knew it was a hot mess. Then came to find out later that it has a great mormon deal of mormon influence. ,For,,"
    0
  ",,8 months ago (edited)
Daniel Abraham,"Catholics were the first Christians. The only reason you consider Mormons as not Christians is because Catholics in the council of Nicea made it dogmatically binding that all Christians believe in the divinity of Christ. 

Also Catholics have a higher view of justifying grace than you Calvinists because God's grace is able to transform human nature and make it truly righteous, not just impute righteousness.",Against,,"
    0
  ",,8 months ago
Scott Johnson,Showing Mary going and getting drunk with the low-life guys in a seedy bar was really not necessary and where did that even come from in the scriptures???,For,,"
    0
  ",,8 months ago
Bobby Rice,Dude dont watch the show. Let it bless the rest of us.,Against,,1,,5 months ago
Scott Effinger,C'mon Todd. You have gone overboard on this rant. There is not a single Jesus movie ever made that does not employ some creative licensing in the script in terms of every word that is said throughout the entire film.. Are you seriously expecting them all to be banned?,Against,,"
    0
  ",,8 months ago
Paul E,"I chose not to watch chosen after watching 1 or 2 episodes it retards my spiritual mentality.  Read the Bible, or simply watch some other movie or sport to pass time.
A believer watching Chosen is like reading Joel Osteen books. ️",For,,"
    0
  ",,8 months ago
Justin M,"I just can't watch Jesus movies, or series, because it's IMPOSSIBLE, for any MAN on earth, to portray the Son of God, perfectly. it just seems to me, that anything less than that is dangerous. so just better not to at all.",For,,1,,8 months ago
Carlos Suero,"Exodus 20:4 Thou shalt not make unto thee any graven image, or any likeness of any thing that is in heaven above, or that is in the earth beneath, or that is in the water under the earth.

Nobody has a problem with someone pretending to be the image of Jesus?",For,,"
    0
  ",,7 months ago
Paul Morton,The sin doctine is of the devil. Itt centers on the fact that we are always a sinner. Who sinned in the begining. Read 1 st John. Jesus came to save us from our sins. Yes we have sinned we may even sin again but Jesus came to destroy the works of the devil. He wants us to remain in our sins,Drop,,"
    0
  ",,3 months ago
chuckdeuces911,The chosen is barely biblical at all..,For,,1,,4 months ago
ULTRAMANNYDJ,Never watched… I’d rather preach the real Jesus on the streets.,For,,1,,8 months ago
Albert S,No I do not love the chosen. I love the real Jesus. I love the Bible. I love God.,For,,"
    0
  ",,8 months ago
Shrewd The Wise,"Haven’t watched it, but I have seen the advertisements. First words that their Jesus says in the ads, “We are going to change the world”…. Nope, not the Gospel!",For,,"
    0
  ",,8 months ago
Neutron Star,"I would prefer the original biblical scripture Church, not the modern one.  

This is quite inefficient, as the current churches work. We need an original scriptural Church.

It would only be positive, if it was created! Now it is necessary!",For,,"
    0
  ",,8 months ago (edited)
